prediction_variable	model	group	pearsonR	gain
Cox	EN	20D4	0.029	29.8433
Cox	GB	20D4	0.0515	88.9482
Cox	RF	20D4	0.0545	-1161.9328
Cox	RR	20D4	0.0055	90.8218
Status	GB	20D4	-0.0204	1.1133
Status	LR	20D4	0.0676	1.347
Status	RF	20D4	0.0334	1.1782
Cox	EN	20N1	-0.0182	-1.4322
Cox	GB	20N1	0.1003	-3.4627
Cox	RF	20N1	0.1063	-2.2574
Cox	RR	20N1	0.063	-23.1251
Status	GB	20N1	0.1264	1.1468
Status	LR	20N1	0.0924	1.2504
Status	RF	20N1	0.1375	1.2052
Cox	EN	21N2	0.0835	25.4329
Cox	GB	21N2	0.1219	9.853
Cox	RF	21N2	0.1184	10.145
Cox	RR	21N2	0.0954	12.093
Status	GB	21N2	0.0669	1.1642
Status	LR	21N2	0.0498	1.3185
Status	RF	21N2	0.1128	1.2356
Cox	EN	22N9	0.0622	8.0217
Cox	GB	22N9	0.0761	12.2969
Cox	RF	22N9	0.0851	9.6834
Cox	RR	22N9	0.0759	9.1822
Status	GB	22N9	6e-04	1.1408
Status	LR	22N9	0.0267	1.3628
Status	RF	22N9	0.0506	1.2335
